gid,request,reason,node_priority
100000008165763100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 102 тыс ₸ больше, чем получил в выборке",0.8866
100000008603629100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,17 млн ₸ больше, чем получил в выборке",0.864
100000000331309100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 22,02 млн ₸ больше, чем получил в выборке",0.8558
100000008346837100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,00 млн ₸ больше, чем получил в выборке",0.834
100000002578405100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,91 млн ₸ больше, чем получил в выборке",0.8184
100000008304139100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,50 млн ₸ больше, чем получил в выборке",0.8183
100000001697501100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,36 млн ₸ больше, чем получил в выборке",0.8158
100000003684369100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 4,74 млн ₸ больше, чем получил в выборке",0.8148
100000004070318100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 345 тыс ₸ больше, чем получил в выборке",0.7991
100000005287097100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 570 тыс ₸ больше, чем получил в выборке",0.7841
100000005910114100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,14 млн ₸ больше, чем получил в выборке",0.7821
100000008477350100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,76 млн ₸ больше, чем получил в выборке",0.7707
100000006866783100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,11 млн ₸ больше, чем получил в выборке",0.769
100000000437046100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 6,50 млн ₸ больше, чем получил в выборке",0.7666
100000004156082100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,94 млн ₸ больше, чем получил в выборке",0.7618
100000008636603100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 124 тыс ₸ больше, чем получил в выборке",0.7603
100000008748914100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 4,29 млн ₸ больше, чем получил в выборке",0.7585
100000004351795100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,60 млн ₸ больше, чем получил в выборке",0.7573
100000008489922100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,53 млн ₸ больше, чем получил в выборке",0.7563
100000003796063100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 924 тыс ₸ больше, чем получил в выборке",0.749
100000005704413100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,27 млн ₸ больше, чем получил в выборке",0.7383
100000002731501100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 264 тыс ₸ больше, чем получил в выборке",0.7377
100000002527114100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,16 млн ₸ больше, чем получил в выборке",0.736
100000004390333100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 442 тыс ₸ больше, чем получил в выборке",0.7351
100000003880331100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,80 млн ₸ больше, чем получил в выборке",0.7328
100000003016635100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 8,83 млн ₸ больше, чем получил в выборке",0.7309
100000008547948100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 4,97 млн ₸ больше, чем получил в выборке",0.7306
100000001857829100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,50 млн ₸ больше, чем получил в выборке",0.7304
100000004400305100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 5,61 млн ₸ больше, чем получил в выборке",0.7232
100000005933757100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,76 млн ₸ больше, чем получил в выборке",0.722
100000002224132100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 8,16 млн ₸ больше, чем получил в выборке",0.7216
100000007639767100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 731 тыс ₸ больше, чем получил в выборке",0.7197
100000008710791100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 5,34 млн ₸ больше, чем получил в выборке",0.7188
100000003242289100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,83 млн ₸ больше, чем получил в выборке",0.7188
100000005782781100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,09 млн ₸ больше, чем получил в выборке",0.7187
100000000089154100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 416 тыс ₸ больше, чем получил в выборке",0.7166
100000008461532100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,96 млн ₸ больше, чем получил в выборке",0.7124
100000001937767100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,88 млн ₸ больше, чем получил в выборке",0.7115
100000008637537100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,73 млн ₸ больше, чем получил в выборке",0.7109
100000002957787100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,19 млн ₸ больше, чем получил в выборке",0.7109
100000007594394100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,98 млн ₸ больше, чем получил в выборке",0.7079
100000008730846100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 208 тыс ₸ больше, чем получил в выборке",0.7073
100000008547844100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,86 млн ₸ больше, чем получил в выборке",0.7063
100000004847758100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 374 тыс ₸ больше, чем получил в выборке",0.7063
100000008748408100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,14 млн ₸ больше, чем получил в выборке",0.703
100000005578559100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 762 тыс ₸ больше, чем получил в выборке",0.6999
100000003923946100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 393 тыс ₸ больше, чем получил в выборке",0.6981
100000008466579100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,90 млн ₸ больше, чем получил в выборке",0.6969
100000001530983100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,27 млн ₸ больше, чем получил в выборке",0.6954
100000008413748100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,35 млн ₸ больше, чем получил в выборке",0.6947
100000008512552100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 908 тыс ₸ больше, чем получил в выборке",0.6919
100000000343175100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,82 млн ₸ больше, чем получил в выборке",0.6918
100000005612411100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 391 тыс ₸ больше, чем получил в выборке",0.6867
100000002849158100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 590 тыс ₸ больше, чем получил в выборке",0.6807
