rank,gid,role,priority_score,why,role_score,is_seed,new_lead,cluster_id,evidence
1,100000008165763100,consolidator,0.8866,"Консолидатор (уверенность 1.00; R3: in_deg=15≥4). Получает от 15 плательщиков: 1,17 млн ₸, 26 переводов (в среднем 45 тыс ₸); seed среди плательщиков: 1; дальше ушло 109% полученного 17 получателям; 4 плательщиков за один день (12.07). Сигналы: синхронные поступления от нескольких плательщиков в один день; устойчивый повторяющийся маршрут A→B→C; повторяющиеся одинаковые суммы; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.887 = роль 0.315 + оборот 0.244 + центральность 0.194 + связь с seed 0.033 + сигналы 0.100. Кластер 5: Признаки управляющего ядра: координатор …369100 (от 24 плательщиков, 62 получателей, 12,44 млн ₸); признаки консолидации: …763100 собирает от 15 плательщиков (1,17 млн ₸), в кластере 3 seed.",1.0,False,True,5,"Получает от 15 плательщиков: 1,17 млн ₸, 26 переводов (в среднем 45 тыс ₸); seed среди плательщиков: 1; дальше ушло 109% полученного 17 получателям; 4 плательщиков за один день (12.07)"
2,100000008603629100,coordinator,0.864,"Координатор (уверенность 0.90; R1 хаб: in_deg=19≥8, out_deg=61≥20). Хаб: собирает от 19 плательщиков (1,82 млн ₸) и раздаёт 61 получателю (4,99 млн ₸); связан с 4 кластерами с seed. Сигналы: сквозной транзит ≤2 дн; синхронные поступления от нескольких плательщиков в один день; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; повторяющиеся одинаковые суммы; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.864 = роль 0.315 + оборот 0.249 + центральность 0.200 + связь с seed 0.000 + сигналы 0.100. Кластер 8: Признаки управляющего ядра: координатор …629100 (от 19 плательщиков, 61 получателей, 6,80 млн ₸); веерная раздача: …331100 → 16 получателей (3,90 млн ₸) — возможны выплаты участникам/обналичивание.",0.9,False,True,8,"Хаб: собирает от 19 плательщиков (1,82 млн ₸) и раздаёт 61 получателю (4,99 млн ₸); связан с 4 кластерами с seed"
3,100000000331309100,coordinator,0.8558,"Координатор (уверенность 0.88; R1 мост: посредничество 0.0046 (топ-1%), кластеров с seed=7). Мост между 7 кластерами с seed (посредничество в топ-1%); получил 985 тыс ₸ от 5 плательщиков (8 переводов), отправил 23,00 млн ₸ 99 получателям (126 переводов). Сигналы: сквозной транзит ≤2 дн; синхронные поступления от нескольких плательщиков в один день; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.856 = роль 0.306 + оборот 0.250 + центральность 0.200 + связь с seed 0.000 + сигналы 0.100. Кластер 3: Признаки управляющего ядра: координатор …309100 (от 5 плательщиков, 99 получателей, 23,99 млн ₸); веерная раздача: …063100 → 15 получателей (959 тыс ₸) — возможны выплаты участникам/обналичивание.",0.875,False,True,3,"Мост между 7 кластерами с seed (посредничество в топ-1%); получил 985 тыс ₸ от 5 плательщиков (8 переводов), отправил 23,00 млн ₸ 99 получателям (126 переводов)"
4,100000008346837100,coordinator,0.834,"Координатор (уверенность 0.75; R1 мост: посредничество 0.0090 (топ-1%), кластеров с seed=6). Мост между 6 кластерами с seed (посредничество в топ-1%); получил 254 тыс ₸ от 9 плательщиков (12 переводов), отправил 1,26 млн ₸ 25 получателям (26 переводов). Сигналы: сквозной транзит ≤2 дн; синхронные поступления от нескольких плательщиков в один день; участвует в возвратном потоке (цикле); аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.834 = роль 0.263 + оборот 0.238 + центральность 0.200 + связь с seed 0.033 + сигналы 0.100. Кластер 21: Признаки управляющего ядра: координатор …837100 (от 9 плательщиков, 25 получателей, 1,51 млн ₸); признаки консолидации: …393100 собирает от 4 плательщиков (563 тыс ₸), в кластере 5 seed.",0.75,False,True,21,"Мост между 6 кластерами с seed (посредничество в топ-1%); получил 254 тыс ₸ от 9 плательщиков (12 переводов), отправил 1,26 млн ₸ 25 получателям (26 переводов)"
5,100000004015047100,consolidator,0.8323,"Консолидатор (уверенность 0.75; R3: in_deg=9≥4). Получает от 9 плательщиков: 919 тыс ₸, 18 переводов (в среднем 51 тыс ₸); seed среди плательщиков: 3; дальше ушло 8% полученного 1 получателю. Сигналы: участвует в возвратном потоке (цикле); аномальный профиль относительно своего колена. Приоритет 0.832 = роль 0.236 + оборот 0.231 + центральность 0.198 + связь с seed 0.100 + сигналы 0.067. Кластер 7: Признаки консолидации: …047100 собирает от 9 плательщиков (919 тыс ₸), в кластере 4 seed; веерная раздача: …786100 → 31 получателей (4,24 млн ₸) — возможны выплаты участникам/обналичивание.",0.75,False,True,7,"Получает от 9 плательщиков: 919 тыс ₸, 18 переводов (в среднем 51 тыс ₸); seed среди плательщиков: 3; дальше ушло 8% полученного 1 получателю"
6,100000003115284100,consolidator,0.8218,"Консолидатор (уверенность 0.68; R3: in_deg=8≥4). Получает от 8 плательщиков: 2,16 млн ₸, 15 переводов (в среднем 144 тыс ₸); seed среди плательщиков: 2; дальше ушло 24% полученного 2 получателям; 7 плательщиков за один день (19.07). Сигналы: синхронные поступления от нескольких плательщиков в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; повторяющиеся одинаковые суммы. Приоритет 0.822 = роль 0.215 + оборот 0.245 + центральность 0.195 + связь с seed 0.067 + сигналы 0.100. Кластер 14: Признаки управляющего ядра: координатор …175100 (от 8 плательщиков, 31 получателей, 4,18 млн ₸); веерная раздача: …582100 → 14 получателей (961 тыс ₸) — возможны выплаты участникам/обналичивание.",0.682,False,True,14,"Получает от 8 плательщиков: 2,16 млн ₸, 15 переводов (в среднем 144 тыс ₸); seed среди плательщиков: 2; дальше ушло 24% полученного 2 получателям; 7 плательщиков за один день (19.07)"
7,100000002578405100,distributor,0.8184,"Распределитель (уверенность 1.00; R2: out_deg=116≥10 и ≥3×in_deg). Веерная раздача: 3,11 млн ₸ 116 получателям (120 переводов, в среднем 26 тыс ₸); получил 1,20 млн ₸ от 2 плательщиков; 9 получателей за один день (08.07). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.818 = роль 0.280 + оборот 0.248 + центральность 0.191 + связь с seed 0.000 + сигналы 0.100. Кластер 11: Изолированный фрагмент (нет связи с основной сетью). Веерная раздача: …405100 → 116 получателей (3,11 млн ₸) — возможны выплаты участникам/обналичивание.",1.0,False,True,11,"Веерная раздача: 3,11 млн ₸ 116 получателям (120 переводов, в среднем 26 тыс ₸); получил 1,20 млн ₸ от 2 плательщиков; 9 получателей за один день (08.07)"
8,100000008304139100,distributor,0.8183,"Распределитель (уверенность 0.64; R2: out_deg=24≥10 и ≥3×in_deg). Веерная раздача: 1,69 млн ₸ 24 получателям (43 перевода, в среднем 39 тыс ₸); получил 189 тыс ₸ от 4 плательщиков. Сигналы: сквозной транзит ≤2 дн; участвует в возвратном потоке (цикле); аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.818 = роль 0.179 + оборот 0.242 + центральность 0.197 + связь с seed 0.100 + сигналы 0.100. Кластер 5: Признаки управляющего ядра: координатор …369100 (от 24 плательщиков, 62 получателей, 12,44 млн ₸); признаки консолидации: …763100 собирает от 15 плательщиков (1,17 млн ₸), в кластере 3 seed.",0.64,False,True,5,"Веерная раздача: 1,69 млн ₸ 24 получателям (43 перевода, в среднем 39 тыс ₸); получил 189 тыс ₸ от 4 плательщиков"
9,100000002398779100,consolidator,0.8158,"Консолидатор (уверенность 0.91; R3: in_deg=13≥4). Получает от 13 плательщиков: 1,10 млн ₸, 28 переводов (в среднем 39 тыс ₸); дальше ушло 6% полученного 1 получателю; 7 плательщиков за один день (09.07). Сигналы: синхронные поступления от нескольких плательщиков в один день; устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена. Приоритет 0.816 = роль 0.286 + оборот 0.234 + центральность 0.195 + связь с seed 0.000 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.909,False,True,1,"Получает от 13 плательщиков: 1,10 млн ₸, 28 переводов (в среднем 39 тыс ₸); дальше ушло 6% полученного 1 получателю; 7 плательщиков за один день (09.07)"
10,100000001697501100,distributor,0.8158,"Распределитель (уверенность 0.78; R2: out_deg=38≥10 и ≥3×in_deg). Веерная раздача: 1,48 млн ₸ 38 получателям (55 переводов, в среднем 27 тыс ₸); получил 124 тыс ₸ от 3 плательщиков; 6 получателей за один день (08.07). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.816 = роль 0.218 + оборот 0.239 + центральность 0.192 + связь с seed 0.067 + сигналы 0.100. Кластер 11: Изолированный фрагмент (нет связи с основной сетью). Веерная раздача: …405100 → 116 получателей (3,11 млн ₸) — возможны выплаты участникам/обналичивание.",0.78,False,True,11,"Веерная раздача: 1,48 млн ₸ 38 получателям (55 переводов, в среднем 27 тыс ₸); получил 124 тыс ₸ от 3 плательщиков; 6 получателей за один день (08.07)"
11,100000003684369100,coordinator,0.8148,"Координатор (уверенность 0.93; R1 хаб: in_deg=24≥8, out_deg=62≥20). Хаб: собирает от 24 плательщиков (3,85 млн ₸) и раздаёт 62 получателям (8,59 млн ₸); связан с 5 кластерами с seed; seed среди плательщиков: 1. Сигналы: сквозной транзит ≤2 дн; синхронные поступления от нескольких плательщиков в один день; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; повторяющиеся одинаковые суммы. Приоритет 0.815 = роль 0.291 + оборот 0.225 + центральность 0.179 + связь с seed 0.030 + сигналы 0.090 (×0,9: уже известный seed). Кластер 5: Признаки управляющего ядра: координатор …369100 (от 24 плательщиков, 62 получателей, 12,44 млн ₸); признаки консолидации: …763100 собирает от 15 плательщиков (1,17 млн ₸), в кластере 3 seed.",0.925,True,False,5,"Хаб: собирает от 24 плательщиков (3,85 млн ₸) и раздаёт 62 получателям (8,59 млн ₸); связан с 5 кластерами с seed; seed среди плательщиков: 1"
12,100000004070318100,coordinator,0.7991,"Координатор (уверенность 0.50; R1 платит seed: seed-получателей=3≥3). Платит 3 известным участникам (seed); получил 207 тыс ₸ от 4 плательщиков (6 переводов), отправил 552 тыс ₸ 19 получателям (37 переводов); seed среди плательщиков: 1. Сигналы: сквозной транзит ≤2 дн; участвует в возвратном потоке (цикле); аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.799 = роль 0.175 + оборот 0.226 + центральность 0.198 + связь с seed 0.100 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.5,False,True,1,"Платит 3 известным участникам (seed); получил 207 тыс ₸ от 4 плательщиков (6 переводов), отправил 552 тыс ₸ 19 получателям (37 переводов); seed среди плательщиков: 1"
13,100000008686313100,consolidator,0.7946,"Консолидатор (уверенность 0.59; R3: in_deg=6≥4). Получает от 6 плательщиков: 1,91 млн ₸, 16 переводов (в среднем 120 тыс ₸); seed среди плательщиков: 1; дальше ушло 17% полученного 7 получателям. Сигналы: участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена. Приоритет 0.795 = роль 0.186 + оборот 0.244 + центральность 0.198 + связь с seed 0.067 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.591,False,True,1,"Получает от 6 плательщиков: 1,91 млн ₸, 16 переводов (в среднем 120 тыс ₸); seed среди плательщиков: 1; дальше ушло 17% полученного 7 получателям"
14,100000005287097100,transit,0.7841,"Транзит (уверенность 0.76; R4: out/in=5.48>1.2 (невидимые входящие)). Получил 127 тыс ₸ от 2 плательщиков (5 переводов), отправил 697 тыс ₸ 9 получателям (42 перевода); отправил в 5,5× больше полученного → есть невидимые входящие; 80% полученного ушло за ≤2 дн. Сигналы: сквозной транзит ≤2 дн; участвует в возвратном потоке (цикле); аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.784 = роль 0.160 + оборот 0.228 + центральность 0.196 + связь с seed 0.100 + сигналы 0.100. Кластер 6: Признаки управляющего ядра: координатор …603100 (от 2 плательщиков, 6 получателей, 195 тыс ₸); признаки консолидации: …528100 собирает от 5 плательщиков (1,07 млн ₸), в кластере 7 seed.",0.762,False,True,6,"Получил 127 тыс ₸ от 2 плательщиков (5 переводов), отправил 697 тыс ₸ 9 получателям (42 перевода); отправил в 5,5× больше полученного → есть невидимые входящие; 80% полученного ушло за ≤2 дн"
15,100000005910114100,coordinator,0.7821,"Координатор (уверенность 0.50; R1 мост: посредничество 0.0058 (топ-1%), кластеров с seed=4). Мост между 4 кластерами с seed (посредничество в топ-1%); получил 326 тыс ₸ от 3 плательщиков (3 перевода), отправил 1,47 млн ₸ 19 получателям (56 переводов). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.782 = роль 0.175 + оборот 0.241 + центральность 0.200 + связь с seed 0.067 + сигналы 0.100. Кластер 8: Признаки управляющего ядра: координатор …629100 (от 19 плательщиков, 61 получателей, 6,80 млн ₸); веерная раздача: …331100 → 16 получателей (3,90 млн ₸) — возможны выплаты участникам/обналичивание.",0.5,False,True,8,"Мост между 4 кластерами с seed (посредничество в топ-1%); получил 326 тыс ₸ от 3 плательщиков (3 перевода), отправил 1,47 млн ₸ 19 получателям (56 переводов)"
16,100000008477350100,coordinator,0.7707,"Координатор (уверенность 0.64; R1 хаб: in_deg=11≥8, out_deg=39≥20). Хаб: собирает от 11 плательщиков (610 тыс ₸) и раздаёт 39 получателям (3,37 млн ₸); связан с 2 кластерами с seed. Сигналы: веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.771 = роль 0.225 + оборот 0.247 + центральность 0.199 + связь с seed 0.000 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.642,False,True,1,"Хаб: собирает от 11 плательщиков (610 тыс ₸) и раздаёт 39 получателям (3,37 млн ₸); связан с 2 кластерами с seed"
